date,AAVEUSDT_PERP,ADAUSDT_PERP,ALGOUSDT_PERP,ATOMUSDT_PERP,AVAXUSDT_PERP,AXSUSDT_PERP,BCHUSDT_PERP,BNBUSDT_PERP,BTCUSDT_PERP,DOGEUSDT_PERP,DOTUSDT_PERP,EOSUSDT_PERP,ETCUSDT_PERP,ETHUSDT_PERP,FILUSDT_PERP,FTMUSDT_PERP,ICPUSDT_PERP,LINKUSDT_PERP,LTCUSDT_PERP,MANAUSDT_PERP,MATICUSDT_PERP,NEOUSDT_PERP,SANDUSDT_PERP,SOLUSDT_PERP,THETAUSDT_PERP,TRXUSDT_PERP,UNIUSDT_PERP,VETUSDT_PERP,XLMUSDT_PERP,XRPUSDT_PERP
2021-04-02,0.0,-235.7746145617295,0.0,-222.64659141229657,0.0,0.0,420.15855026226427,1144.2917364754926,1343.5008494269298,0.0,0.0,823.4406223812455,1193.4485928504378,1013.2427852043152,0.0,0.0,0.0,178.21837746389173,104.65622974153754,0.0,0.0,0.0,0.0,0.0,0.0,500.9843901342359,0.0,916.7704708565371,-762.0652301726145,1140.8009590564718
2021-04-03,0.0,-341.0290247683365,0.0,-245.33225707691045,0.0,0.0,-256.0749535140361,1267.0648091904422,1087.779022801709,0.0,0.0,667.7151787860579,572.9651571707105,880.473918977197,0.0,0.0,0.0,-291.65606833003295,-707.7827846735128,0.0,0.0,0.0,0.0,0.0,0.0,811.6555914136973,0.0,855.2604440617399,-935.8980812965711,1079.3127079390486
2021-04-04,0.0,-314.04609734274555,0.0,-57.41208972630153,0.0,0.0,132.6589553582382,1375.4093332936932,1236.5015921723968,0.0,0.0,714.5690860749701,969.1487908486218,995.7167420847826,0.0,0.0,0.0,-45.678383771957755,-437.11587774862124,0.0,0.0,0.0,0.0,0.0,0.0,693.3504015434397,0.0,775.5837441689466,-749.9358943595208,1502.8730115057647
2021-04-05,0.0,-301.6723120988845,0.0,72.72186514153071,0.0,0.0,420.5171004990225,1588.9028118463075,1559.0749903949102,0.0,0.0,912.1374393342624,1372.17326132416,1159.71309590278,0.0,0.0,0.0,-15.414391797771597,-357.39797325137505,0.0,0.0,0.0,0.0,0.0,0.0,831.564047446268,0.0,782.2587074634612,-434.1947363391498,192.25726716011786
2021-04-06,0.0,-233.63305112972694,0.0,205.48221491433608,0.0,0.0,788.6280259564635,1527.9085991248048,1100.5467964511545,0.0,0.0,912.1374393342624,1796.8427617917707,1067.8950213588282,0.0,0.0,0.0,-173.395823149254,14.246983920687398,0.0,0.0,0.0,0.0,0.0,0.0,646.9441307000507,0.0,859.5382155875589,-125.04360046411284,548.9166586998771
2021-04-07,0.0,-299.5529305428955,0.0,-67.27323894320327,0.0,0.0,1116.6942164078293,1490.9916635097104,971.8843795730265,0.0,0.0,778.8973868764032,2250.8911140545333,936.7782987157055,0.0,0.0,0.0,-120.2156775528573,-31.239892597685298,0.0,0.0,0.0,0.0,0.0,0.0,567.5442634089025,0.0,820.6801831394621,-187.74149432167872,359.615260356107
2021-04-08,0.0,-254.3780820405069,0.0,21.498502925107672,0.0,0.0,1283.5390609620606,1387.151241722643,1055.0757561759654,0.0,0.0,821.6150557258266,1960.836785189139,1058.7255666884014,0.0,0.0,0.0,63.499713180755265,83.03015403710896,0.0,0.0,0.0,0.0,0.0,0.0,520.5954309168778,0.0,893.0405294400041,-106.89195962081455,490.1221613747863
2021-04-09,0.0,-236.86896838906966,0.0,161.90987716323474,0.0,0.0,1255.0527543457185,1370.1365916167047,1245.7082573179268,0.0,0.0,704.0845481114419,1659.1011821491,1065.3666699075213,0.0,0.0,0.0,74.59008520516491,160.63205534851699,0.0,0.0,0.0,0.0,0.0,0.0,438.2612593849199,0.0,1102.033757762048,-20.11764862255555,506.1363446760771
2021-04-10,0.0,-253.72478855574337,0.0,7.542075760725453,0.0,0.0,1303.356389409335,1463.8196398518228,997.3792303976918,0.0,0.0,704.0845481114419,1792.5599904569494,964.4396483328568,0.0,0.0,0.0,-99.87355668210813,133.53917572040834,0.0,0.0,0.0,0.0,0.0,0.0,515.4956288998012,0.0,1146.7409709277845,80.74191241335161,536.972449698125
2021-04-11,0.0,-225.3753469619852,0.0,98.63023604901325,0.0,0.0,1413.8611528031674,1313.3000649645144,734.4812334542698,0.0,0.0,746.9912288264396,1517.8897244431641,1057.3456394970324,0.0,0.0,0.0,-110.03097007212257,303.52194116425346,0.0,0.0,0.0,0.0,0.0,0.0,515.4956288998012,0.0,1071.6329004024242,252.39827173308186,642.0634999218282
